BC Sale Price,Wall Material,Roof Material,Basement,Central Air Conditioning,Age,Bedrooms,Building Square Feet,Full Baths,Garage Size,Half Baths,Land Acre,Tract Median Income
1.9601985123916004,Masonry,Tar + Gravel,Full,Central A/C,14,6,4.892,5,2.0,2,0.064393939,94.598
1.9058236781303979,Frame + Masonry,Tar + Gravel,Slab,Central A/C,33,1,1.28,2,1.0,0,0.018319559,148.616
1.9323876596217187,Masonry,Tar + Gravel,Full,Central A/C,31,3,1.568,1,1.0,1,0.035123967,148.616
1.9096492097094748,Frame + Masonry,Tar + Gravel,Slab,Central A/C,33,1,1.28,2,1.0,0,0.018342516,148.616
1.9483430001798374,Masonry,Shingle + Asphalt,Slab,Central A/C,32,4,3.742,2,2.0,2,0.052295684,122.479
1.960701125405407,Masonry,Tar + Gravel,Full,Central A/C,13,4,3.286,3,2.5,1,0.080325987,138.934
1.956954394580657,Masonry,Tar + Gravel,Full,Central A/C,24,4,2.797,2,2.0,1,0.065564738,142.583
1.9613305404381736,Masonry,Tar + Gravel,Full,Central A/C,18,3,4.726,3,2.5,1,0.066528926,162.054
1.92956392749395,Masonry,Tar + Gravel,Slab,Central A/C,42,4,2.179,2,1.0,1,0.034389348,162.054
1.9637857015829925,Masonry,Tar + Gravel,Full,Central A/C,14,4,3.929,4,2.0,1,0.071740129,119.432
1.9127128439056031,Masonry,Tar + Gravel,Slab,Central A/C,42,4,2.052,2,0.0,1,0.015817264,138.934
1.967462680152477,Masonry,Tar + Gravel,Full,Central A/C,12,6,4.598,5,2.0,2,0.071740129,109.191
1.9697108733592308,Masonry,Tar + Gravel,Full,Central A/C,3,5,3.828,4,2.0,2,0.086524334,109.191
1.9183503419072274,Masonry,Tar + Gravel,Full,Central A/C,48,4,1.56,2,0.0,1,0.01969697,112.788
1.9318796111319199,Frame,Shingle + Asphalt,Full,Central A/C,17,4,2.07,2,2.0,1,0.070454545,99.44
1.9711324865405186,Masonry,Shingle + Asphalt,Full,Central A/C,18,5,5.683,4,2.0,1,0.106749311,138.934
1.9292893218813452,Masonry,Shingle + Asphalt,Full,Central A/C,21,2,1.57,2,1.0,0,0.030188246,122.479
1.9018238612652367,Masonry,Tar + Gravel,Full,Central A/C,47,1,0.936,1,0.0,0,0.021212121,162.054
1.9693214004461053,Masonry,Shingle + Asphalt,Full,Central A/C,25,7,5.445,6,2.0,1,0.085123967,83.806
1.9362747012122834,Masonry,Shingle + Asphalt,Slab,Central A/C,33,3,2.28,2,1.0,1,0.026974288,83.806
1.9269703256659778,Masonry,Tar + Gravel,Slab,Central A/C,15,3,1.692,2,2.0,1,0.021556474,99.44
1.913933703417613,Masonry,Tar + Gravel,Full,Central A/C,33,3,1.3,3,1.0,0,0.023875115,132.222
1.9719255037462562,Masonry,Tar + Gravel,Full,Central A/C,26,5,4.36,5,3.0,1,0.093939394,141.806
1.91659423437717,Masonry,Tar + Gravel,Slab,Central A/C,23,3,1.826,1,1.0,1,0.015955005,36.927
1.8885443574849294,Masonry,Tar + Gravel,Crawl,Central A/C,48,2,0.864,1,0.0,0,0.023370064,112.788
1.9135324597665766,Masonry,Tar + Gravel,Slab,Central A/C,15,3,1.456,2,2.0,1,0.018158861,99.44
1.9197750547879782,Masonry,Tar + Gravel,Slab,Central A/C,23,3,1.826,1,1.0,1,0.01620753,36.927
1.902699148917896,Masonry,Tar + Gravel,Full,Central A/C,49,2,0.735,1,0.0,1,0.017539027,142.583
1.903099683377698,Masonry,Tar + Gravel,Crawl,Central A/C,48,2,1.092,1,0.0,0,0.027112029,112.788
1.9257985851510335,Masonry,Tar + Gravel,Slab,Central A/C,39,3,1.539,2,1.0,1,0.0271809,138.934
